geo_area_name,amount_of_tracked_exported_environmentally_sound_technologies_current_united_states_dollars,amount_of_tracked_imported_environmentally_sound_technologies_current_united_states_dollars,amount_of_tracked_re_exported_environmentally_sound_technologies_current_united_states_dollars,amount_of_tracked_re_imported_environmentally_sound_technologies_current_united_states_dollars,amount_of_united_states_dollars_committed_to_public_private_partnerships_for_infrastructure_million_usd_nominal,amount_of_united_states_dollars_committed_to_public_private_partnerships_for_infrastructure_million_usd_real,annual_broad_money_growth_percent,annual_gdp_growth_percent,annual_growth_of_exports_of_goods_and_services_percent,annual_growth_of_households_and_npis_hs_final_consumption_expenditure_percent,annual_growth_of_imports_of_goods_and_services_percent,annual_growth_of_the_general_government_final_consumption_expenditure_percent,annual_growth_of_the_gross_capital_formation_percent,annual_inflation_consumer_prices_percent,average_tariff_applied_by_developed_countries_most_favored_nation_status_by_type_of_product_percent,average_tariff_applied_by_developed_countries_preferential_status_by_type_of_product_percent,bank_capital_to_assets_ratio_percent,broad_money_to_total_reserves_ratio,cash_surplus_deficit_as_a_proportion_of_gdp_percent,countries_that_have_conducted_at_least_one_population_and_housing_census_in_the_last_10_years_1_yes_0_no,countries_with_birth_registration_data_that_are_at_least_90_percent_complete_1_yes_0_no,countries_with_death_registration_data_that_are_at_least_75_percent_complete_1_yes_0_no,countries_with_national_statistical_legislation_exists_that_complies_with_the_fundamental_principles_of_official_statistics_1_yes_0_no,countries_with_national_statistical_plans_that_are_fully_funded_1_yes_0_no,countries_with_national_statistical_plans_that_are_under_implementation_1_yes_0_no,countries_with_national_statistical_plans_with_funding_from_donors_1_yes_0_no,countries_with_national_statistical_plans_with_funding_from_government_1_yes_0_no,countries_with_national_statistical_plans_with_funding_from_others_1_yes_0_no,current_account_balance_as_a_proportion_of_gdp_percent,debt_service_as_a_proportion_of_exports_of_goods_and_services_percent,dec_alternative_conversion_factor_in_local_currency_unit_per_united_states_dollar,dollar_value_of_all_resources_made_available_to_strengthen_statistical_capacity_in_developing_countries_current_united_states_dollars,extent_of_use_of_country_owned_results_frameworks_and_planning_tools_by_providers_of_development_cooperation_data_by_recipient_percent,external_debt_stocks_as_a_proportion_of_gni_percent,fixed_internet_broadband_subscriptions_per_100_inhabitants_by_speed_per_100_inhabitants,foreign_direct_investment_fdi_inflows_millions_of_us_dollars,foreign_direct_investment_net_inflows_as_a_proportion_of_gdp_percent,gross_public_sector_debt_central_government_as_a_proportion_of_gdp_percent,internet_users_per_100_inhabitants,merchandise_trade_as_a_proportion_of_gdp_percent,number_of_countries_reporting_progress_in_multi_stakeholder_development_effectiveness_monitoring_frameworks_that_support_the_achievement_of_the_sustainable_development_goals_recipient_1_yes_0_no,number_of_fixed_internet_broadband_subscriptions_by_speed_number,portfolio_investment_net_balance_of_payments_current_united_states_dollars,proportion_of_domestic_budget_funded_by_domestic_taxes_percent_of_gdp,proportion_of_project_objectives_in_new_development_interventions_drawn_from_country_led_result_frameworks_data_by_recipient_percent,proportion_of_results_indicators_drawn_from_country_led_results_frameworks_data_by_recipient_percent,proportion_of_results_indicators_which_will_be_monitored_using_government_sources_and_monitoring_systems_data_by_recipient_percent,tax_revenue_as_a_proportion_of_gdp_percent,total_government_revenue_budgetary_central_government_as_a_proportion_of_gdp_percent,total_government_revenue_in_local_currency,total_official_development_assistance_gross_disbursement_for_technical_cooperation_millions_of_2019_united_states_dollars,total_reserves_in_months_of_imports_ratio,volume_of_remittances_in_united_states_dollars_as_a_proportion_of_total_gdp_percent,worldwide_weighted_tariff_average_most_favoured_nation_status_by_type_of_product_percent,worldwide_weighted_tariff_average_preferential_status_by_type_of_product_percent
French_Polynesia,2360425,103740067,NA,34742,NA,NA,NA,-7.59988,NA,NA,NA,NA,NA,NA,6.841754,3.705174,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,89.944,NA,NA,NA,22.78326,55.66673,0.28643,NA,72.7039,34.57535,NA,30283.75,7315965.94247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.570475714285715,7.430471428571428
Grenada,1280663,22382776,137487,NA,38.9,0,-1.20666,-13.70773,NA,NA,NA,NA,NA,-0.74073,5.065132,2.805074,10.12871,3.35719,NA,1,1,1,1,NA,0,NA,NA,NA,-21.06912,10.35911,2.7,57610.73,NA,62.54688,28.43863,146.10404,14.27994,NA,56.9,39.82341,NA,25577,-14493962.6506,98.34708,NA,NA,NA,NA,25.76494,778.69128,5.32357,5.20535,6.75853,18.34882,14.892301666666667
Guyana,15919749,155963943,15438317,NA,66.5,0,14.50249,43.47956,NA,NA,NA,NA,NA,0.99334,16.890534,3.721906,NA,4.53547,NA,1,0,1,NA,NA,0,NA,NA,NA,-8.18705,2.67539,208.5,451101.78,NA,32.67865,12.07803,1833.89132,21.83196,NA,37.32584,85.17239,NA,32444.5,-126144124.1703,NA,NA,NA,NA,NA,NA,NA,77.31849,2.04891,8.01245,13.410504285714286,11.352494285714286
Jamaica,22881681,319721197,1717492,7396,3457.8,110,18.27752,-10,-10.2,-10.2,-10.61946,-10.2,-11.21701,5.22678,9.172478,1.816098,NA,2.51502,4.99802,1,1,1,0,0,1,1,1,NA,-0.31022,32.87269,142.4028,185737.53,NA,135.01082,6.5109975,366.00921,1.91929,NA,68.21452,42.9396,NA,158953.5,-343737090.97499,79.52158,NA,NA,NA,27.45394,29.08087,575401.1009,95.63766,7.09471,22.20373,15.613015714285714,14.64041142857143
Kiribati,53326,5450794,NA,NA,0,0,NA,-1.94756,-25.56809,-7.03589,-8.42121,10.67518,13.74208,-1.81308,7.4979759999999995,2.9926120000000003,NA,NA,19.56916,1,0,0,NA,NA,0,NA,NA,NA,36.08881,NA,1.4531,1569407.86,80.74879,NA,0.07723,-0.30588,1.3286,NA,38,71.89554,NA,78.66666666666667,2057072.04476,26.99381,73.91304,83.33333,85,25.68359,117.84418,341.42718,11.03168,NA,7.55213,0,0
Maldives,24438,185021872,NA,NA,518,0,14.19245,-33.4999,-51.35508,-27.16448,-41.09186,5.36854,-30.61459,-1.36977,7.925174,7.40721,22.21086,2.73177,-17.88621,1,1,1,1,0,1,NA,1,NA,-35.46634,15.20821,15.3813,174524.672,NA,96.91223,11.78165,348.34483,11.77501,NA,62.93,56.77613,NA,52976,-68644107.78471,65.30124,NA,NA,NA,9.10067,25.7962,22999.36528,10.84192,4.26765,0.12424,16.159315,11.904441666666667
Mauritius,29148632,190193853,24913044,NA,0,0,16.88106,-14.89469,-38.04262,-18.6766,-28.92169,-1.17714,-25.32713,2.5808,15.257666666666667,3.5967966666666666,10.80921,2.45256,-2.17174,1,1,1,1,1,1,NA,1,NA,-12.49552,3.69718,39.3469,146057.26,NA,155.66385,12.7047575,245.94104,2.25208,58.70766,64.8849,55.17093,NA,153600,5000031332.23936,62.02545,NA,NA,NA,19.94706,26.5739,114185.92095,17.40588,7.95565,2.60726,0.878355,0.5840916666666667
Micronesia_(Federated_States_of),13816,7356870,NA,4451,NA,NA,15.62807,-1.76542,NA,NA,NA,NA,NA,1.794,7.026898,6.18042,7.20627,0.6372,13.85786,1,NA,NA,NA,NA,0,NA,NA,NA,7.01836,NA,1,NA,NA,NA,NA,0,6.32982,NA,35.30405,62.4263,NA,3776,6215100,23.41784,NA,NA,NA,19.22772,33.82943,137.79549,10.38295,5.28234,5.69121,3.742634285714286,3.742634285714286
Montserrat,54374,3000422,11910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.621434,1.830836,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.09615,0.25712,NA,NA,54.551,NA,NA,2700,NA,25.27819,NA,NA,NA,NA,94.34832,150.25841,29.21253,NA,NA,15.069428571428572,13.260504285714285
New_Caledonia,4491593,130621809,168257,NA,NA,NA,NA,2.10011,NA,NA,NA,NA,NA,0.57832,4.144195,2.4513533333333335,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,-7.49879,NA,104.71061,NA,NA,NA,19.26458,442.82228,7.01157,NA,82.00584,49.20467,NA,54798.5,51985580.32484,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.58035,NA,NA
Palau,43787,9275225,2063,3035,NA,NA,NA,-9.73742,NA,NA,NA,NA,NA,0.21818,7.8418075,7.4686825,NA,NA,-5.38358,1,1,1,1,0,0,NA,1,NA,-18.15535,NA,1,1105000,36.11111,NA,6.92896,24,9.31315,NA,26.97033,65.96818,1,1224,119960.8469,30.72744,83.33333,0,25,20.42451,49.75823,127.757,5.04274,NA,0.8445,6.745231666666666,6.745231666666667
Papua_New_Guinea,22641048,1139168854,NA,391601,136,0,4.41742,-3.5,2.71642,16.56507,8.63221,-0.81443,0.01959,4.87167,4.061325,2.096775,14.4622,2.81604,-4.97587,1,NA,NA,NA,NA,1,NA,NA,NA,22.6085,10.76897,3.46,949138.045,67.50125,73.65584,0.23471,-935.49356,-3.7922,NA,11.2092,48.12132,1,18000,-3612854.62654,50.53216,97.26027,60.87174,44.37174,13.02172,14.83136,12093.349,204.27455,4.89329,0.00811,6.893748571428572,6.893748571428572
Saint_Kitts_and_Nevis,698266,13460866,272145,3845,47.85,47.85,-8.12325,-14.4,NA,NA,NA,NA,NA,-1.16725,17.168768,4.896006,12.11502,2.83032,1.77898,1,1,1,1,1,1,1,1,NA,-7.99589,NA,2.7,22744.14,NA,NA,56.39204,47.09086,1.41246,NA,80.71019,32.93429,NA,29272,40853151.49689,47.16857,NA,NA,NA,17.35091,26.71,707.4,0.56527,9.19609,3.21979,18.607827142857143,17.269115714285714
Saint_Lucia,1469365,34194828,1565526,NA,130.2,0,-12.68967,-20.37364,NA,NA,NA,NA,NA,-1.75542,6.54323,1.072444,7.91429,4.99839,-0.8625,1,1,1,NA,NA,0,NA,NA,NA,-14.68658,8.90941,2.7,54307.1,49.51923,48.23101,17.97121,14.92243,2.17152,NA,53.3,34.6369,NA,16132.5,138344449.99259,84.31386,92.30769,46.875,9.375,18.24093,24.59621,1119.88,4.94706,3.78419,3.68566,22.43230666666667,18.597268333333332
Saint_Vincent_and_the_Grenadines,619440,17971175,326784,23792,82,82,-6.55817,-3.25283,NA,NA,NA,NA,NA,-0.62813,6.023646666666666,2.2687416666666667,6.30378,2.9664,-1.64292,1,1,1,0,NA,0,NA,NA,NA,-16.8394,19.11285,2.7,55226.93,34.13333,50.17029,11.7933125,72.89226,3.82179,NA,56,45.07885,1,11019,14121073.75473,83.90236,85.7,0,16.7,25.35766,28.83307,611.29,7.24475,6.41522,7.51594,19.036749999999998,15.197345
Samoa,415140,17953790,NA,NA,38.705,0,5.39375,-2.59261,4.87866,NA,15.07193,NA,NA,-1.56891,6.770628,2.42099,16.24513,1.75251,4.57082,1,0,1,1,1,1,1,1,NA,-9.79115,18.68367,2.6978,157371.841,77.77778,56.31133,0.85276,-0.77446,0.54834,NA,33.61094,43.24119,1,1565,15485691.74129,74.82844,33.33333,100,100,26.17448,43.47171,942.46892,27.42198,8.11502,25.29554,11.87831,11.878309999999999
Sao_Tome_and_Principe,129050,7294511,8805,NA,50,0,-2.07863,3.08973,NA,NA,NA,NA,NA,7.85706,4.701214,1.7461260000000003,NA,2.92605,NA,1,1,1,1,1,1,1,NA,NA,-12.60168,4.06682,21.6684,2155776.13,56.94444,61.91363,0.5731,47.11218,9.96209,NA,33,31.71821,1,821,-496191.95437,49.16239,100,37.5,33.33333,NA,23.91381,2061.12895,18.23503,5.52294,1.82282,11.006475,11.006475
Seychelles,3081656,63676404,740185,799,63.26,0,29.30623,-10.77092,5.91376,8.88811,9.37307,7.99722,18.48194,8.27686,9.135816,4.6917279999999995,9.95562,2.55423,3.25488,1,1,1,NA,NA,0,NA,NA,NA,-29.41662,NA,17.6,40452.06,84.18803,NA,35.5537,122.29484,16.52159,60.41159,79,135.48622,NA,26974,105327179.41173,85.65763,69.23077,100,83.33333,34.96098,38.9739,8395.0279,2.84052,4.75079,0.94158,4.09415,2.511485
Singapore,28779261510,23375885358,NA,NA,NA,NA,13.19103,-5.39102,-4.32028,-14.12061,-7.07583,12.59173,NA,-0.18192,4.321615714285714,1.2429442857142856,9.32388,1.40317,7.46446,1,1,1,1,1,1,NA,1,NA,17.5841,NA,1.3797,20677.29,NA,NA,25.80533,90561.85867,25.71927,NA,92.00435,203.63738,NA,376000,51479419456.5407,50.0933,NA,NA,NA,13.23945,18.55685,87049.41537,NA,7.02645,0,0.12097714285714285,0.035565714285714284
Small_island_developing_States_(SIDS),28401684009,25455627119,NA,NA,NA,NA,NA,-6.64765,-6.40632,-9.93123,-8.19844,1.70393,NA,0.12835,6.439485714285714,1.7635957142857144,NA,NA,2.35929,NA,35,39,20,9,17,4,12,2,NA,NA,NA,41817898.046,72.64951,NA,NA,135591,16.64978,NA,60.6,118.64783,10,NA,NA,47.85704,72.27349,77.51307,68.93167,14.38361,48.15519,NA,1378.45549,7.09167,2.7682,6.99892,5.762517142857143
Solomon_Islands,818985,31201712,224711,NA,233.37,233.37,6.61389,-4.31726,-28.45138,NA,-21.05185,NA,-41.75532,2.96355,7.201764,3.155762,17.67634,0.99804,-2.42253,1,NA,NA,NA,NA,1,NA,NA,NA,-1.62105,1.354,8.2134,125624.67,15.79254,27.1165,0.14558,9.13347,0.5809,NA,11.92423,54.53175,1,1045,1453169.44865,52.12806,30.76923,8.43531,8.17308,20.91889,37.57597,4787.69362,37.27395,13.7455,1.77948,8.339852857142857,7.871068571428571
Suriname,3463035,131124693,10572,NA,NA,NA,62.0543,-15.90795,NA,NA,NA,NA,NA,34.89295,6.279192,2.6637999999999997,NA,4.22717,NA,1,1,1,1,1,1,NA,1,NA,9.0574,NA,13.2974,45958.289,NA,NA,7.5780475,-27.10426,0.03605,NA,70.06,127.38155,NA,40182.5,-35263666.75599,72.85157,NA,NA,NA,NA,25.66303,4217.37959,8.3182,3.02931,4.30021,15.799536,14.430068
Timor-Leste,246266,29931066,NA,NA,490,0,-7.10863,10.37186,225.26429,-2.52858,67.14051,4.85031,-33.928,0.95881,2.7228328571428575,0.9432414285714286,NA,1.20122,5.69182,1,NA,NA,0,NA,1,NA,NA,NA,-16.19321,1.07771,1,515881.17,64.42888,9.72881,0.00569,72.37859,3.80508,NA,29.1,46.73642,1,600,-258309000,32.73082,94.73684,54.16714,44.38265,22.64205,91.58006,1533.2529,37.58909,8.66303,8.17285,2.5,2.5
Tonga,344957,14633464,127073,NA,13.4,0,17.48053,0.6547,-4.70095,-4.3646,-7.57628,16.78589,-4.0795,-0.34974,8.09134,5.953144,22.6733,1.02447,NA,1,NA,NA,1,1,1,1,1,1,-5.27384,3.94656,2.3101,90638.87,76.19048,36.65025,4.73059,-0.46792,0.86459,NA,41.24873,49.91511,NA,925.75,4844647.33158,54.20565,28.57143,100,100,NA,41.68085,485.16853,10.39167,11.03133,38.98109,11.642134285714286,11.642134285714286
Trinidad_and_Tobago,2908423581,791584057,88326849,NA,NA,NA,7.12487,-7.85394,NA,NA,NA,NA,NA,0.59899,8.558011666666667,1.96299,11.85352,2.52005,-3.37537,1,1,1,NA,NA,NA,NA,NA,NA,-0.63105,NA,6.7511,53585.17,66.66667,NA,13.46103,-438.71103,-0.47519,NA,70.6,45.79851,NA,169670,-184638529.43179,60.3954,100,50,50,20.04821,29.81962,47810.3,12.2201,11.78872,0.90067,14.894155714285715,13.54299
Vanuatu,139336,13706386,NA,NA,43.1,0,-0.55906,-6.81399,-61.13889,3.31897,-17.26988,4.54584,19.48034,2.76252,8.682478,3.6899319999999998,10.2585,1.33572,5.33435,1,0,0,1,0,0,NA,1,NA,3.2154,7.06071,115.38,86278.53,52.9,46.91901,0.447265,29.56029,2.79174,NA,25.71979,39.36258,NA,2823,8771580.56848,34.65665,85.7,28.6,44.4,17.6324,38.87636,39542.4,27.5163,18.1181,9.92199,19.456385,19.456385
Cook_Islands,NA,1167207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.054283333333333,4.12762,NA,NA,NA,1,1,1,1,0,1,NA,1,NA,NA,NA,NA,53303.112,73.97382,NA,17.08039,7.15251,NA,NA,54.00002,NA,1,2700,NA,NA,100,43.30784,78.61363,NA,NA,219.256,3.48183,NA,NA,24.64761,24.602156000000004
Cuba,NA,NA,NA,NA,3192,1880,NA,-10.94834,-20.54781,-8.68794,-7.60684,-10.07837,-5.92726,NA,14.624329999999999,14.585636666666666,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,367194.339,NA,NA,1.02261,NA,NA,NA,74,9.65515,NA,91366,NA,NA,NA,NA,NA,NA,NA,NA,28.54548,NA,NA,10.21964,8.50607857142857
Guinea-Bissau,NA,NA,NA,NA,0,0,9.09282,-2.4,-14.62772,-3.89672,-3,9.02173,9.6295,0.2466,4.560612,1.726078,NA,NA,-3.87903,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.85014,3.31915,575.586,406302.14,66.5198,55.3435,0.060545,20.41038,1.42555,NA,22.9,33.73475,NA,613.5,-8207560.3493,49.34373,60,78.54406,61.01533,9.46207,16.02487,129028.5875,12.45275,NA,8.58991,14.753718333333333,14.753633333333333
Haiti,NA,NA,NA,NA,126.43,0,4.22344,-3.34337,-39.71248,-4.04565,-18.27877,11.08867,-20.5908,22.79631,6.977494,0.477186,NA,2.14466,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0.48841,1.18347,99.9356,28327908.92,59.68393,15.94354,0.27187,30,0.20678,NA,34.5,25.44765,1,31100,NA,NA,74.32432,60.29673,44.43075,NA,NA,NA,93.56686,5.00169,21.43974,7.447352857142857,7.447352857142857
American_Samoa,NA,NA,NA,NA,NA,NA,NA,3.92157,10.04464,0.8316,13.3758,10.07194,NA,NA,6.342434,6.007764,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,153.8787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Curaçao,NA,NA,NA,NA,NA,NA,NA,-18.4,NA,NA,NA,NA,NA,2.62221,NA,NA,NA,NA,NA,1,1,1,0,1,1,NA,1,NA,-26.53037,NA,1.79,13351.37,NA,NA,33.51758,164.16222,6.09245,NA,68.12722,57.05322,NA,26648.5,-105924734.50279,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.03707,NA,NA
Guam,NA,NA,NA,NA,NA,NA,NA,-11.85002,-74.06855,-4.93755,-2.91486,NA,NA,NA,6.9889339999999995,6.94755,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1.77751,NA,NA,NA,80.50547,10.88296,NA,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marshall_Islands,NA,NA,NA,NA,NA,NA,NA,-2.20761,-3.27638,-19.16503,-31.44598,-12.33562,-63.17389,NA,4.9642219999999995,4.469659999999999,NA,NA,-2.05781,1,NA,NA,NA,NA,NA,NA,NA,NA,23.93227,NA,1,2052374.73,88.88889,NA,1.68947,6.58826,2.695,NA,38.70116,48.67824,1,1000,413465,26.07373,66.66667,100,100,17.41611,73.15753,171.267,12.7541,NA,12.68089,NA,NA
