geo_area_name,countries_with_procedures_in_law_or_policy_for_participation_by_service_users_communities_in_planning_program_in_rural_drinking_water_supply_by_level_of_definition_in_procedures_10_clearly_defined_5_not_clearly_defined_0_na,countries_with_procedures_in_law_or_policy_for_participation_by_service_users_communities_in_planning_program_in_water_resources_planning_and_management_by_level_of_definition_in_procedures_10_clearly_defined_5_not_clearly_defined_0_na,countries_with_users_communities_participating_in_planning_programs_in_rural_drinking_water_supply_by_level_of_participation_3_high_2_moderate_1_low_0_na,countries_with_users_communities_participating_in_planning_programs_in_water_resources_planning_and_management_by_level_of_participation_3_high_2_moderate_1_low_0_na,degree_of_integrated_water_resources_management_implementation_percent,degree_of_integrated_water_resources_management_implementation_enabling_environment_percent,degree_of_integrated_water_resources_management_implementation_financing_percent,degree_of_integrated_water_resources_management_implementation_institutions_and_participation_percent,degree_of_integrated_water_resources_management_implementation_management_instruments_percent,extent_of_human_made_wetlands_square_kilometres,extent_of_inland_wetlands_square_kilometres,lake_water_quality_trophic_state_percent,lake_water_quality_turbidity_percent,lakes_and_rivers_permanent_water_area_percent_of_total_land_area,lakes_and_rivers_permanent_water_area_square_kilometres,lakes_and_rivers_permanent_water_area_change_percent,lakes_and_rivers_seasonal_water_area_percent_of_total_land_area,lakes_and_rivers_seasonal_water_area_square_kilometres,lakes_and_rivers_seasonal_water_area_change_percent,level_of_water_stress_freshwater_withdrawal_as_a_proportion_of_available_freshwater_resources_percent,mangrove_area_square_kilometres,mangrove_area_baseline_square_kilometres,mangrove_area_gain_percent,mangrove_area_gain_square_kilometres,mangrove_area_loss_percent,mangrove_area_loss_square_kilometres,mangrove_total_area_change_percent,nationally_derived_quantity_of_groundwater_millions_of_cubic_metres_per_annum,nationally_derived_quantity_of_rivers_million_of_cubic_metres_per_annum,proportion_of_bodies_of_water_with_good_ambient_water_quality_percent,proportion_of_countries_by_iwrm_implementation_category_percent,proportion_of_countries_with_clearly_defined_procedures_in_law_or_policy_for_participation_by_service_users_communities_in_planning_program_in_rural_drinking_water_supply_percent,proportion_of_countries_with_clearly_defined_procedures_in_law_or_policy_for_participation_by_service_users_communities_in_planning_program_in_water_resources_planning_and_management_percent,proportion_of_countries_with_high_level_of_users_communities_participating_in_planning_programs_in_rural_drinking_water_supply_percent,proportion_of_countries_with_high_level_of_users_communities_participating_in_planning_programs_in_water_resources_planning_and_management_percent,proportion_of_groundwater_bodies_with_good_ambient_water_quality_percent,proportion_of_open_water_bodies_with_good_ambient_water_quality_percent,proportion_of_population_practicing_open_defecation_by_urban_rural_percent,proportion_of_population_using_safely_managed_drinking_water_services_by_urban_rural_percent,proportion_of_population_using_safely_managed_sanitation_services_by_urban_rural_percent,proportion_of_population_with_basic_handwashing_facilities_on_premises_by_urban_rural_percent,proportion_of_river_water_bodies_with_good_ambient_water_quality_percent,proportion_of_safely_treated_domestic_wastewater_flows_percent,proportion_of_transboundary_aquifers_with_an_operational_arrangement_for_water_cooperation_percent,proportion_of_transboundary_basins_river_and_lake_basins_and_aquifers_with_an_operational_arrangement_for_water_cooperation_percent,proportion_of_transboundary_river_and_lake_basins_with_an_operational_arrangement_for_water_cooperation_percent,reservoir_maximum_water_area_percent_of_total_land_area,reservoir_maximum_water_area_square_kilometres,reservoir_minimum_water_area_percent_of_total_land_area,reservoir_minimum_water_area_square_kilometres,total_official_development_assistance_gross_disbursement_for_water_supply_and_sanitation_by_recipient_countries_millions_of_constant_2019_united_states_dollars,total_wastewater_treated_million_m3_year,water_use_efficiency_united_states_dollars_per_cubic_meter,wetlands_area_percent_of_total_land_area,wetlands_area_square_kilometres
Guinea-Bissau,0,NA,0,NA,19,17,13,25,22,NA,10000,NA,NA,9e-4,25.27556,34.64262,0.00652,183.43942,52.09059,0.7464324999999999,2571.69,2568.35,1.85,47.53,1.72,44.19,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.666666666666666,25.333333333333332,12.666666666666666,18.333333333333332,NA,21.40018,0,42.86,100,0,0,0,0,5.23297,NA,7.898365,5.11,1571.39
Guyana,5,5,1,1,19,19,20,13,23,NA,NA,NA,NA,0.00209,411.2518,11.94847,0.0041,806.8349,43.90262,1.6496,289.07,295.19,6.91,20.4,8.99,26.53,-2.08,NA,NA,67.76,NA,NA,NA,NA,NA,NA,NA,0.6666666666666666,NA,NA,76.66666666666667,67.76,NA,0,5.94,8.35,0,0,0,0,4.62699,NA,27.379379999999998,6.09,12887.18
Haiti,5,0,1,0,30,27,25,38,28,NA,NA,25,24.9999975,0.00611,168.27629,10.73246,0.00292,80.41341,35.82441,6.6909475,147.59,164.62,0.33,0.55,10.68,17.58,-10.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,21.666666666666668,NA,NA,NA,NA,NA,0,0,0,0,41.27798,NA,19.730707499999998,1.64,444.48
Jamaica,10,10,3,3,50,52,30,51,68,NA,152.4,NA,NA,0.00155,16.79069,2.70462,0.00173,18.75459,-2.27946,6.235860000000001,95.29,101.41,0.83,0.84,6.87,6.96,-6.03,NA,9.1e-5,57.21,NA,NA,NA,NA,NA,33.4,NA,1,NA,NA,66.33333333333333,94.31,NA,NA,NA,NA,0,0,0,0,0.37181,NA,19.9743025,0.77,84.11
Maldives,10,10,2,2,42,48,40,49,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8341674999999995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.86772,NA,1248.63156,NA,NA
Marshall_Islands,10,10,1,1,36,37,16,42,50,NA,NA,NA,NA,0.00582,1.04675,196.74215,0.03341,6.01358,559.27989,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0,100,NA,NA,NA,NA,NA,100,100,15,NA,NA,83.66666666666667,NA,NA,NA,NA,NA,0,0,0,0,2.03202,NA,NA,0,0
Micronesia_(Federated_States_of),5,10,2,2,49,50,42,59,46,NA,NA,NA,NA,0.00176,1.22959,185.02807,0.00342,2.39089,807.08248,NA,83.55,83.27,0.51,0.43,0.18,0.15,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1.51482,NA,NA,0,0
Nauru,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5.8e-4,0.01168,NA,8.8e-4,0.01755,-46.61393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.16704,NA,NA,0,0
Papua_New_Guinea,0,0,0,0,19,17,7,20,30,NA,NA,24.9999975,25,0.00528,2392.87361,10.28018,0.00441,1994.90768,49.2632,0.06806,4668.64,4727.46,1.05,49.55,2.29,108.37,-1.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.666666666666666,NA,28,39,NA,NA,NA,NA,NA,9e-5,42.46448,8e-5,37.18225,26.9217,NA,50.39324,14.45,66781.25
Samoa,10,NA,0,NA,75,78,70,78,74,NA,NA,NA,NA,7e-4,1.9869,3.53787,0.00103,2.92022,156.65603,NA,3.05,3.04,0.31,0.01,0.06,0,0.26,NA,NA,100,NA,NA,NA,NA,NA,NA,100,0,46,45,79,100,46.68055,NA,NA,NA,0,0,0,0,7.76909,NA,NA,0.16,4.48
Sao_Tome_and_Principe,0,0,0,0,33,38,20,38,35,NA,NA,NA,NA,0,6.3e-4,NA,0,0,NA,0.9365375,0.01,0.01,42.86,0,0,0,42.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.333333333333336,33.666666666666664,33.666666666666664,52.666666666666664,NA,NA,NA,NA,NA,0,0,0,0,6.22715,NA,22.2855075,0.8,7.96
Seychelles,5,5,0,0,55,60,35,70,56,NA,NA,NA,NA,0.00234,1.07589,20.13846,0.01296,5.96385,64.29556,NA,1.12,1.09,7.14,0.08,3.53,0.04,3.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.19042,NA,70.6199725,11.5,57.4
Solomon_Islands,10,5,2,1,30,30,24,30,35,NA,NA,25,25,0.00102,28.52698,75.92751,9.6e-4,26.93703,232.0464,NA,527.61,535.53,1.8,9.65,3.28,17.57,-1.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.666666666666664,NA,NA,28,NA,NA,NA,NA,NA,0,0,0,0,16.22134,NA,NA,6.52,1842.13
Timor-Leste,10,0,2,0,14,4,10,21,21,NA,NA,NA,NA,2.3e-4,3.36379,-42.01732,0.00407,60.57834,0.54551,14.1345525,9.33,9.65,0.22,0.02,3.58,0.35,-3.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,31,NA,NA,NA,NA,NA,0,0,0,0,3.17694,NA,71.0993075,1.27,188.64
Tonga,10,10,2,2,35,40,10,40,49,NA,NA,NA,NA,0.02078,14.96337,241.1774,0.00522,3.76022,260.40493,NA,8.63,8.9,0.62,0.06,3.65,0.33,-3.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,34.666666666666664,31.333333333333332,72,NA,28.59977,NA,NA,NA,0,0,0,0,1.08294,NA,NA,2.01,14.04
Trinidad_and_Tobago,10,10,2,2,34,30,23,41,40,17.22,231.3,NA,NA,0.00128,6.5903,4.31585,0.00309,15.83866,22.95055,10.16412,52.74,57.2,0.39,0.23,8.19,4.68,-7.79,NA,NA,87.5,NA,NA,NA,NA,NA,87.5,NA,0,NA,NA,90,NA,NA,NA,NA,NA,0,0,0,0,0.01475,85.5341,45.63522,4.05,208.19
Tuvalu,10,10,3,0,45,48,24,69,38,NA,NA,NA,NA,0.0055,0.16512,-20.0757,0.01727,0.51805,50.05532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.666666666666666,50,6.333333333333333,NA,NA,2.04231,NA,NA,NA,0,0,0,0,0.02512,NA,NA,0,0
Vanuatu,5,0,0,1,45,53,16,63,49,NA,NA,NA,NA,0.00228,27.74267,22.17337,0.00147,17.85926,206.1005,NA,17.69,17.75,0.41,0.07,0.74,0.13,-0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33333333333333337,57,NA,30,NA,NA,NA,NA,NA,0,0,0,0,4.73006,NA,NA,3.78,462.7
Bahamas,NA,NA,NA,NA,34,37,27,30,40,NA,NA,25,25.0000025,0.09214,922.36175,22.01934,0.20383,2040.37522,15.53326,NA,970.1,1079.36,0.3,3.26,10.42,112.52,-10.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,304.28724,7.05,839.11
Cabo_Verde,NA,NA,NA,NA,62,78,64,66,41,NA,NA,NA,NA,0.00201,8.09821,-12.61211,0.00474,19.09809,278.07152,4.215832499999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.333333333333332,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,6.67303,NA,408.88811250000003,0,0
Dominica,NA,NA,NA,NA,47,25,48,61,55,NA,NA,NA,NA,1e-5,0.00584,-67.2168,0.00104,0.78172,598.47388,5,0.02,0.02,0,0,4.55,0,-4.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.29054,NA,8.107009999999999,0.44,3.28
Grenada,NA,NA,NA,NA,31,25,40,25,34,NA,NA,NA,NA,3.6e-4,0.12204,-30.6968,0.00242,0.82327,120.00983,3.525,1.97,1.98,0.8,0.02,1.15,0.02,-0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,87,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35153,NA,34.334010000000006,0.02,0.06
Kiribati,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0.09807,79.43906,2.09314,0.06223,50.40298,119.74624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,14.333333333333334,26.666666666666668,55.333333333333336,NA,30.7972,NA,NA,NA,0,0,0,0,4.9617000000000004,NA,NA,0,0
Mauritius,NA,NA,NA,NA,68,70,73,67,63,11.46,89.83,NA,NA,0.00675,13.7102,5.03288,0.00324,6.56829,124.60346,10.814625,7.11,7.24,1.75,0.13,3.54,0.26,-1.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,13.29201,NA,NA,NA,0,0,0,0,3.01921,25.404000000000003,65.743075,1.82,36.74
Palau,NA,NA,NA,NA,0,0,0,0,0,0.45,1.1,NA,NA,0.00129,0.59312,29.10316,0.00147,0.67612,240.40338,NA,61.49,61.49,0.31,0.19,0.3,0.18,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,85.66666666666667,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,7.13724,NA,NA,0,0
Saint_Kitts_and_Nevis,NA,NA,NA,NA,23,15,20,23,33,NA,NA,NA,NA,7.1e-4,0.18582,-5.44089,0.00226,0.58645,43.89999,25.4158325,0.29,0.3,0.56,0,5.63,0.02,-5.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.0165,NA,22.246404999999996,0,0
Saint_Lucia,NA,NA,NA,NA,40,40,32,41,45,NA,NA,NA,NA,1.3e-4,0.08234,13.34379,0.00182,1.10793,157.57095,7.15,1.68,1.69,0.31,0.01,0.46,0.01,-0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,87.33333333333333,NA,NA,NA,NA,NA,0,0,0,0,0.20706,NA,62.965745,0.02,0.11
Saint_Vincent_and_the_Grenadines,NA,NA,NA,NA,24,18,8,20,48,NA,NA,NA,NA,3.4e-4,0.13383,-61.94544,0.00296,1.15393,45.05332,3.95,0.32,0.33,0,0,2.11,0.01,-2.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.07623,NA,20985.819305,0.08,0.36
Singapore,NA,NA,NA,NA,100,100,100,100,100,NA,NA,NA,NA,0.01406,10.06963,-18.91053,0.0214,15.32108,56.22028,41.0866675,5.22,5.36,1.02,0.05,3.55,0.19,-2.54,NA,NA,100,NA,NA,NA,NA,NA,NA,100,0,100,100,NA,NA,100,NA,NA,NA,0.00869,6.2209,0.00795,5.69117,NA,NA,533.247845,2.26,13.4
Small_island_developing_States_(SIDS),NA,NA,NA,NA,28,26,20,30,36,1845.15,66199.97,24.689442500000002,24.68944,0.00545,6473.68429,18.4186,0.00642,7624.82594,32.88627,1.8247399999999998,15197.75,17337.73,3.72854,270.92,5.4374,705.09,-1.72,NA,NA,NA,16.666666666666668,47.82609,39.13043,17.3913,8.69565,NA,NA,8.666666666666666,NA,25,49.333333333333336,NA,NA,NA,NA,NA,2e-4,242.32665,1.3e-4,154.98711,203.98369,NA,40.3014225,8.26365,100373.38
Suriname,NA,NA,NA,NA,23,21,15,24,33,NA,NA,25,25.0000025,0.00108,168.82707,9.00668,0.00223,347.23675,46.403,1.9776525,759.56,730.86,14.39,105.2,10.47,76.51,3.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3333333333333333,53.333333333333336,26.666666666666668,71.33333333333333,NA,23.81762,0,0,0,3e-5,5.31242,0,0.42218,1.04687,NA,17.69255,5.09,7385.03
American_Samoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0014,0.27925,-0.33051,0.00332,0.66335,-12.66405,NA,0.19,0.19,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,98,NA,NA,NA,69.01258,NA,NA,NA,0,0,0,0,NA,NA,NA,0.65,1.29
Aruba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6e-4,0.11959,-17.90799,0.01402,2.52287,230.24245,NA,0.34,0.54,0,0,37.72,0.21,-37.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,0.24,0.44
French_Polynesia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04849,168.29829,1124.92121,0.02043,70.91192,2046.13555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,84,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,0.28,10.99
Guam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8e-4,0.42288,45.54334,7.9e-4,0.4279,90.89303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,99,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,13.73,74.7
Montserrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2e-4,0.03222,-89.92204,0.01091,1.09117,-4.37207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.00682,NA,NA,0.63,0.64
New_Caledonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00188,34.3327,-10.50698,0.00313,57.30324,101.41408,NA,294.69,302.28,0,0,2.51,7.59,-2.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,97,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,7.04,1308.14
Niue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-4,0.02655,NA,1e-5,0.00198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,94,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.01104,NA,NA,0,0
Northern_Mariana_Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00394,1.81032,304.61765,0.0086,3.95479,614.45388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,91,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,2.76,13.12
Puerto_Rico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00275,24.39835,30.40458,0.00359,31.87174,53.20082,9.7689025,88,92.07,0.1,0.09,4.52,4.16,-4.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,100,33,NA,NA,32.5,NA,NA,NA,0.00124,10.97432,6.1e-4,5.40589,NA,NA,27.87059,0.13,11.6
United_States_Virgin_Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00285,0.99803,-13.46591,0.0096,3.36133,128.05628,NA,2.06,2.07,0.58,0.01,1.44,0.03,-0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,98,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,4.09,14.42
"Bonaire,_Sint_Eustatius_and_Saba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.67,2.15,0,0,22.2,0.48,-22.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Curaçao,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,0.3,1.76,0.01,71.18,0.21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
