geo_area_name,agricultural_export_subsidies_millions_of_current_united_states_dollars,agriculture_orientation_index_for_government_expenditures,agriculture_share_of_government_expenditure_percent,agriculture_value_added_share_of_gdp_percent,average_income_of_large_scale_food_producers_ppp_constant_2011_international,average_income_of_small_scale_food_producers_ppp_constant_2011_international,children_moderately_or_severely_overweight_thousands,children_moderately_or_severely_stunted_thousands,children_moderately_or_severely_wasted_thousands,indicator_of_food_price_anomalies_ifpa_by_consumer_food_price_index,indicator_of_food_price_anomalies_ifpa_by_type_of_product,number_of_local_breeds_for_which_sufficient_genetic_resources_are_stored_for_reconstitution,number_of_undernourish_people_millions,plant_genetic_resources_accessions_stored_ex_situ_number,prevalence_of_moderate_or_severe_food_insecurity_in_the_adult_population_percent,prevalence_of_severe_food_insecurity_in_the_adult_population_percent,prevalence_of_undernourishment_percent,productivity_of_large_scale_food_producers_agricultural_output_per_labour_day_ppp_constant_2011_international,productivity_of_small_scale_food_producers_agricultural_output_per_labour_day_ppp_constant_2011_international,proportion_of_children_moderately_or_severely_overweight_percent,proportion_of_children_moderately_or_severely_stunted_percent,proportion_of_children_moderately_or_severely_wasted_percent,proportion_of_local_breeds_classified_as_being_at_risk_as_a_share_of_local_breeds_with_known_level_of_extinction_risk_percent,proportion_of_women_aged_15_49_years_with_anaemia_percent,proportion_of_women_aged_15_49_years_with_anaemia_non_pregnant_percent,proportion_of_women_aged_15_49_years_with_anaemia_pregnant_percent,total_official_flows_disbursements_for_agriculture_by_recipient_countries_millions_of_constant_2019_united_states_dollars,total_population_in_moderate_or_severe_food_insecurity_thousands_of_people,total_population_in_severe_food_insecurity_thousands_of_people
Dominican_Republic,NA,0.35,2.11,6.04147,NA,NA,76.7,59.4,23.8,0.374,0.36,NA,0.9,NA,NA,NA,8.3,NA,NA,7.6,7.1,2.4,100,26.4,26.4,27.5,26.9,NA,NA
Fiji,NA,0.295,4.4,14.8937,NA,NA,4.6,6.7,5.7,0.054,NA,NA,NA,NA,14.3,2,5.6,NA,NA,5.1,7.5,6.3,0,32,31.5,41.4,12.1,65.33333333333333,12
Grenada,NA,0.585,2.85,4.86871,NA,NA,NA,NA,NA,0.534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.2,19,22.5,0.2,NA,NA
Guinea-Bissau,NA,0.086,4.21,30.86341,5232.236666666667,1776.48,10.4,85.3,23.6,0.309,NA,0,NA,NA,NA,NA,NA,13.953333333333333,12.9,2.2,28.1,7.8,0,48.1,47.7,52.3,9.7,NA,NA
Guyana,NA,0.417,7.02,16.85115,NA,NA,4.9,6.6,4.8,NA,NA,NA,NA,1294,NA,NA,5.2,NA,NA,5.3,11.3,6.4,NA,31.7,31.6,33,2,NA,NA
Jamaica,NA,0.196,1.7,8.68327,NA,NA,15.7,19.6,8,0.501,NA,NA,0.2,NA,NA,NA,7.7,NA,NA,6.8,9.3,3.3,100,19.9,19.7,22.8,4.8,NA,NA
Maldives,NA,0.06,0.31,7.84428,NA,NA,1.6,5.1,3.4,0.345,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,15.3,9.1,0,52.2,52.3,49.3,14.6,NA,NA
Marshall_Islands,NA,0.307,4.68,15.87347,NA,NA,0.3,2.2,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1,34.8,3.5,NA,30.6,30,39.4,4.3,NA,NA
Micronesia_(Federated_States_of),NA,0.234,6.03,25.55936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,24.4,35.3,4.3,NA,NA
Palau,NA,0.195,0.62,2.93581,NA,NA,NA,NA,NA,0.385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.5,28.3,34.3,3.1,NA,NA
Papua_New_Guinea,NA,0.072,1.26,19.35458,NA,NA,98.7,536.4,142.3,0.073,NA,NA,2.2,1912,NA,NA,24.6,NA,NA,13.7,49.5,14.1,50,34.4,33.7,44.1,61.2,NA,NA
Saint_Kitts_and_Nevis,NA,1.582,2.07,1.30142,NA,NA,NA,NA,NA,0.208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,15.4,15.3,18.2,0.1,NA,NA
Saint_Lucia,NA,0.995,2.58,2.59076,NA,NA,0.7,0.3,0.4,0.067,NA,0,NA,NA,25.166666666666664,7.7,NA,NA,NA,6.3,2.5,3.7,NA,14.3,14.2,19.1,3.1,26.666666666666668,7.333333333333333
Saint_Vincent_and_the_Grenadines,NA,0.378,2.52,6.67054,NA,NA,NA,NA,NA,1.055,NA,NA,NA,NA,NA,NA,5.6,NA,NA,NA,NA,NA,NA,17,16.8,21.4,11.1,NA,NA
Samoa,NA,0.725,7.45,10.27099,NA,NA,1.9,1.8,0.9,-0.31,-0.26,NA,NA,NA,23.6,3.4,4.6,NA,NA,8.7,7.3,3.1,NA,26.8,25.8,39.4,3.2,20.333333333333332,3.6666666666666665
Sao_Tome_and_Principe,NA,0.364,4.45,13.99209,NA,NA,1.3,3.7,1.3,0.554,NA,NA,NA,NA,NA,NA,11.9,NA,NA,4.5,11.7,4.1,NA,44.2,43.6,50.8,6.4,NA,NA
Seychelles,NA,0.288,0.71,2.48013,NA,NA,0.8,0.6,0.3,0.913,NA,0,NA,NA,14.7,3.3,NA,NA,NA,10.2,7.9,4.3,NA,25.1,24.9,27.5,5.4,18.666666666666668,7.666666666666667
Singapore,NA,4.567,0.15,0.0324,NA,NA,12.5,7.4,8.5,0.965,NA,NA,NA,NA,4.3,0.8666666666666667,NA,NA,NA,2.6,4.4,3.6,NA,13,12.9,17.5,NA,158.33333333333334,33
Solomon_Islands,NA,0.12,2.96,24.58791,NA,NA,4.1,30.3,7.9,0.973,NA,NA,0.1,NA,NA,NA,16.5,NA,NA,4.5,31.7,8.5,100,37.7,36.7,49.3,14.2,NA,NA
Suriname,NA,0.484,4.56,9.42457,NA,NA,2.1,4.2,2.9,0.83,NA,0,NA,83,NA,NA,8.7,NA,NA,3.5,8.3,5.5,NA,21,20.8,24.2,7.8,NA,NA
Timor-Leste,NA,0.064,0.9,16.49863,3027.6066666666666,1175.3966666666665,4.7,86.9,15.3,0.222,NA,NA,0.3,NA,NA,NA,22.6,NA,NA,1.6,51.7,9.9,NA,29.9,29.2,38,25,NA,NA
Trinidad_and_Tobago,NA,0.984,1.11,1.1296,NA,NA,9.7,7.7,6.2,-0.26,NA,NA,0.1,640,NA,NA,6.7,NA,NA,11.4,9.2,6.4,NA,17.7,17.7,19.4,0.3,NA,NA
Vanuatu,NA,0.147,3.12,23.55081,NA,NA,2.1,12.1,1.8,1.399,NA,NA,NA,NA,23.3,2.4,9.3,NA,NA,4.9,28.9,4.7,66,28.5,28.5,27.7,7.2,30.333333333333336,4.333333333333333
Anguilla,NA,NA,NA,2.4188,NA,NA,NA,NA,NA,-0.029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
Aruba,NA,NA,NA,0.01862,NA,NA,NA,NA,NA,-0.358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
British_Virgin_Islands,NA,NA,NA,0.14609,NA,NA,NA,NA,NA,0.406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Comoros,NA,NA,NA,33.07153,NA,NA,11.9,28,12.5,-0.691,NA,0,NA,NA,NA,NA,NA,NA,NA,10.6,31.1,11.2,0,33.8,33.5,38,5.5,NA,NA
Curaçao,NA,NA,NA,0.3761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
French_Polynesia,NA,NA,NA,3.2142,NA,NA,NA,NA,NA,0.662,NA,NA,NA,NA,NA,NA,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haiti,NA,NA,NA,18.73766,NA,NA,46.9,257.4,47.3,1.289,-0.5633333333333334,NA,5.3,NA,NA,NA,46.8,NA,NA,3.4,21.9,3.7,NA,47.7,47.6,48.7,64.9,NA,NA
Kiribati,NA,NA,NA,30.07967,NA,NA,0.4,2.3,0.5,-0.005,NA,NA,NA,NA,41,8,4.1,NA,NA,2.1,15.2,3.5,NA,32.6,31.9,41.7,4.2,19,3.666666666666667
Montserrat,NA,NA,NA,0.97424,NA,NA,NA,NA,NA,1.181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,NA,NA
Nauru,NA,NA,NA,2.32409,NA,NA,0,0.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,24,1,NA,29.6,29.2,35.9,1,NA,NA
New_Caledonia,NA,NA,NA,1.80104,NA,NA,NA,NA,NA,1.741,NA,NA,NA,NA,NA,NA,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Puerto_Rico,NA,NA,NA,0.68168,NA,NA,NA,NA,NA,0.046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sint_Maarten_(Dutch_part),NA,NA,NA,0.09149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tonga,NA,NA,NA,19.62384,NA,NA,1.5,0.3,0.1,0.474,NA,0,NA,NA,23.2,6,NA,NA,NA,11.2,2.2,1.1,100,28.5,27.9,36.5,3.5,10.333333333333334,2.6666666666666665
Tuvalu,NA,NA,NA,20.4682,NA,NA,0.1,0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3,10,3.3,0,27.5,27,34,2.9,NA,NA
Guam,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
Niue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,27.3,27,33.6,0.7,NA,NA
