geo_area_name,bribery_incidence_percent_of_firms_experiencing_at_least_one_bribe_payment_request,countries_with_national_human_rights_institutions_and_no_status_with_the_paris_principles_c_status_1_yes_0_no,countries_with_national_human_rights_institutions_in_compliance_with_the_paris_principles_a_status_1_yes_0_no,countries_with_national_human_rights_institutions_not_fully_compliant_with_the_paris_principles_b_status_1_yes_0_no,countries_with_no_application_for_accreditation_with_the_paris_principles_d_status_1_yes_0_no,detected_victims_of_human_trafficking_for_forced_labour_servitude_and_slavery_by_age_and_sex_number,detected_victims_of_human_trafficking_for_other_purposes_by_age_and_sex_number,detected_victims_of_human_trafficking_for_removal_of_organ_by_age_and_sex_number,detected_victims_of_human_trafficking_for_sexual_exploitaton_by_age_and_sex_number,detected_victims_of_human_trafficking_by_age_and_sex_number,number_of_chairs_of_permanent_committees_by_age_sex_and_focus_of_the_committee_joint_committees,number_of_chairs_of_permanent_committees_by_age_sex_and_focus_of_the_committee_lower_chamber_or_unicameral,number_of_chairs_of_permanent_committees_by_age_sex_and_focus_of_the_committee_upper_chamber,number_of_speakers_in_parliament_by_age_and_sex_lower_chamber_or_unicameral,number_of_speakers_in_parliament_by_age_and_sex_upper_chamber,number_of_victims_of_intentional_homicide_per_100_000_population_by_sex_victims_per_100_000_population,number_of_victims_of_intentional_homicide_by_sex_number,number_of_youth_in_parliament_age_45_or_below_lower_chamber_or_unicameral_number,number_of_youth_in_parliament_age_45_or_below_upper_chamber_number,police_reporting_rate_for_physical_assault_by_sex_percent,police_reporting_rate_for_robbery_by_sex_percent,police_reporting_rate_for_sexual_assault_by_sex_percent,prevalence_rate_of_bribery_by_sex_percent,primary_government_expenditures_as_a_proportion_of_original_approved_budget_percent,proportion_of_children_aged_1_14_years_who_experienced_physical_punishment_and_or_psychological_aggression_by_caregivers_in_last_month_percent_of_children_aged_1_14_years,proportion_of_children_under_5_years_of_age_whose_births_have_been_registered_with_a_civil_authority_percent_of_children_under_5_years_of_age,proportion_of_countries_that_applied_for_accreditation_as_independent_national_human_rights_institutions_in_compliance_with_the_paris_principles_percent,proportion_of_countries_with_independent_national_human_rights_institutions_in_compliance_with_the_paris_principles_percent,proportion_of_members_of_developing_countries_in_international_organizations_by_organization_percent,proportion_of_population_aged_18_29_years_who_experienced_sexual_violence_by_age_18_by_sex_percent_of_population_aged_18_29,proportion_of_population_reporting_having_felt_discriminated_against_by_grounds_of_discrimination_sex_and_disability_percent,proportion_of_population_subjected_to_physical_violence_in_the_previous_12_months_by_sex_percent,proportion_of_population_subjected_to_robbery_in_the_previous_12_months_by_sex_percent,proportion_of_population_subjected_to_sexual_violence_in_the_previous_12_months_by_sex_percent,proportion_of_population_that_feel_safe_walking_alone_around_the_area_they_live_percent,proportion_of_seized_found_or_surrendered_arms_whose_illicit_origin_or_context_has_been_traced_or_established_by_a_competent_authority_in_line_with_international_instruments,proportion_of_voting_rights_of_developing_countries_in_international_organizations_by_organization_percent,proportion_of_youth_in_parliament_age_45_or_below_lower_chamber_or_unicameral_percent,proportion_of_youth_in_parliament_age_45_or_below_upper_chamber_percent,proportions_of_positions_in_the_judiciary_compared_to_national_distributions_ratio,proportions_of_positions_in_the_judiciary_compared_to_national_distributions_constitutional_court_ratio,proportions_of_positions_in_the_judiciary_compared_to_national_distributions_higher_courts_ratio,proportions_of_positions_in_the_judiciary_compared_to_national_distributions_lower_courts_ratio,proportions_of_positions_in_the_public_service_compared_to_national_distributions_ratio,ratio_for_female_members_of_parliaments_ratio_of_the_proportion_of_women_in_parliament_in_the_proportion_of_women_in_the_national_population_with_the_age_of_eligibility_as_a_lower_bound_boundary_lower_chamber_or_unicameral,ratio_for_female_members_of_parliaments_ratio_of_the_proportion_of_women_in_parliament_in_the_proportion_of_women_in_the_national_population_with_the_age_of_eligibility_as_a_lower_bound_boundary_upper_chamber,ratio_of_young_members_in_parliament_ratio_of_the_proportion_of_young_members_in_parliament_age_45_or_below_in_the_proportion_of_the_national_population_age_45_or_below_with_the_age_of_eligibility_as_a_lower_bound_boundary_lower_chamber_or_unicameral,ratio_of_young_members_in_parliament_ratio_of_the_proportion_of_young_members_in_parliament_age_45_or_below_in_the_proportion_of_the_national_population_age_45_or_below_with_the_age_of_eligibility_as_a_lower_bound_boundary_upper_chamber,unsentenced_detainees_as_a_proportion_of_overall_prison_population_percent
Mauritius,3.9,NA,1,NA,1,NA,2,NA,NA,9,NA,0.4,NA,1,NA,2.928445,18.5,NA,NA,NA,45,NA,13,92.6712,NA,NA,NA,NA,0.545914,NA,NA,NA,15,NA,NA,NA,0.27394816,NA,NA,1,1,NA,NA,0.92133,0.39139,NA,NA,NA,40.8
Micronesia_(Federated_States_of),4.55,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0.6,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.95552,NA,NA,NA,NA,0.5299525,NA,NA,NA,NA,NA,NA,NA,0.16348435,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
Papua_New_Guinea,26.42,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0.5,NA,1,NA,NA,NA,15,NA,NA,NA,NA,NA,103.58476,NA,13.4,NA,NA,0.545914,6.9,NA,NA,NA,NA,NA,NA,0.2769179,19.74,NA,NA,NA,NA,NA,NA,0,NA,0.31404,NA,37.8
Saint_Kitts_and_Nevis,2.23,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0,NA,1,NA,0,17,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.545914,NA,NA,NA,NA,NA,NA,NA,0.25063828,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5
Saint_Lucia,11.62,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0,0,1,1,21.702225,19.5,NA,NA,NA,NA,NA,NA,90.16536,67.5,91.83333333333333,NA,NA,0.545914,NA,NA,NA,NA,NA,NA,NA,0.25019404,NA,NA,NA,NA,NA,NA,NA,0.32543,0.52896,NA,NA,51.7
Saint_Vincent_and_the_Grenadines,4.92,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0.2,NA,1,NA,36.031135000000006,20,NA,NA,NA,NA,NA,NA,113.22314,NA,NA,NA,NA,1.770552,NA,NA,NA,6,NA,NA,NA,1.574128,NA,NA,NA,NA,NA,NA,NA,0.36823,NA,NA,NA,24.5
Samoa,30.54,NA,1,NA,1,NA,NA,NA,NA,NA,NA,0.6,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.8589,90.8,67.08333333333333,NA,NA,0.545914,5,18.9,NA,NA,NA,NA,NA,0.25038924,NA,NA,NA,NA,NA,NA,0.98454,0.20664,NA,NA,NA,6.5
Small_island_developing_States_(SIDS),14.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3.35,1,18,5.5,9.661114999999999,3308.148575,306,16,NA,NA,NA,NA,NA,69.84595,70.21666666666667,21.052631578947366,10.526315789473683,13.0437,4.6,NA,NA,NA,NA,NA,NA,6.584107425,37.14,31.37,NA,NA,NA,NA,NA,0.56856,0.6642,0.63816,0.5795,38.6
Solomon_Islands,43.78,NA,NA,NA,1,0,NA,0,NA,NA,NA,0.4,NA,1,NA,NA,NA,8,NA,NA,NA,NA,NA,105.5325,85.5,88,NA,NA,0.545914,NA,NA,NA,NA,NA,NA,NA,0.25013574,16,NA,NA,NA,NA,NA,NA,0.16009,NA,0.23402,NA,50.4
Suriname,12.65,NA,NA,NA,1,NA,NA,NA,NA,9,NA,0.6666666666666666,NA,1,NA,7.24877,20.5,27,NA,NA,NA,NA,NA,82.70908,87.3,98.35,NA,NA,0.545914,NA,3.725925925925926,NA,NA,NA,NA,NA,0.25621398,52.94,NA,NA,NA,NA,NA,NA,0.58053,NA,0.92645,NA,NA
Timor-Leste,44.2,NA,1,NA,1,NA,NA,NA,NA,2,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,4,83.3671,NA,60.333333333333336,NA,NA,0.5299525,2.8,NA,NA,NA,NA,NA,NA,0.1675173,NA,NA,NA,NA,NA,NA,NA,0.77385,NA,NA,NA,23.2
Tonga,24.87,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0,NA,1,NA,0.974905,0.5,NA,NA,NA,NA,NA,NA,81.6546,86.6,97.61666666666667,NA,NA,0.545914,0.2,9.298214285714286,NA,NA,NA,NA,NA,0.24988152,NA,NA,NA,NA,NA,NA,NA,0.14349,NA,NA,NA,7.4
Trinidad_and_Tobago,10.48,NA,NA,NA,1,1,NA,NA,NA,2,1,NA,NA,1,1,30.940365,210,9,9,77,83,18,1.4333333333333333,NA,76.7,96.23333333333333,NA,NA,0.545914,24.8,NA,0.5,0.9,0.6,NA,NA,0.31892001999999997,21.43,30,NA,NA,NA,NA,NA,0.51292,0.79245,0.39269,0.6152,59.7
Vanuatu,11.9,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0.5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.9993,83.5,43.4,NA,NA,0.545914,NA,NA,NA,NA,NA,NA,NA,0.25067202,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,22.4
Puerto_Rico,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.010095,320.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.1
Haiti,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,6.75442,371.5,48,NA,NA,NA,NA,NA,59.33236,83.24764,84.4,NA,NA,0.545914,4.8,NA,NA,NA,NA,NA,NA,0.26809306,41.03,NA,NA,NA,NA,NA,NA,NA,NA,0.6542,NA,62.8
Maldives,NA,NA,NA,1,1,6.5,NA,NA,NA,12,NA,1,NA,1,NA,NA,NA,52,NA,NA,NA,NA,NA,101.09371,NA,98.81666666666666,NA,NA,0.545914,0.4,NA,NA,NA,NA,NA,NA,0.24793922,59.77,NA,0.12,NA,NA,NA,1.25363,0.13934,NA,0.75628,NA,NA
Comoros,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.9581,NA,87.28333333333333,NA,NA,0.5299525,3.1,NA,NA,NA,NA,NA,NA,0.156308425,NA,NA,NA,NA,NA,NA,NA,0.33383,NA,NA,NA,NA
Cuba,NA,NA,NA,NA,1,NA,NA,NA,NA,6,NA,0.8,NA,1,NA,5.064765,286,NA,NA,NA,NA,NA,NA,NA,41.6,99.8,NA,NA,0.5639449999999999,NA,1.2294642857142857,NA,NA,NA,NA,NA,0.56393,NA,NA,NA,NA,NA,NA,NA,1.05208,NA,NA,NA,NA
Kiribati,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0.2,NA,1,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,92.1,91.7,NA,NA,0.5299525,6.1,13.393055555555556,NA,NA,NA,NA,NA,0.159036625,24.44,NA,NA,NA,NA,NA,NA,0.12659,NA,0.37111,NA,5.4
Marshall_Islands,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0.4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.87085,NA,83.8,NA,NA,0.5299525,NA,NA,NA,NA,NA,NA,NA,0.162560875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nauru,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.9,NA,NA,0.5254433333333334,NA,NA,NA,NA,NA,NA,NA,0.20010666666666668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palau,NA,NA,NA,NA,1,0,NA,0,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,87.38421,NA,NA,NA,NA,0.5299525,NA,NA,NA,NA,NA,NA,NA,0.152189825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sao_Tome_and_Principe,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,0,0,20,NA,NA,NA,NA,NA,73.4904,83.5,98.61666666666666,NA,NA,0.5299525,3.4,NA,NA,NA,NA,NA,NA,0.16339425000000002,36.36,NA,NA,NA,NA,NA,NA,0.46871,NA,0.49418,NA,36.7
Seychelles,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0.6,NA,1,NA,16.63739,8,NA,NA,NA,NA,NA,NA,94.0933,NA,NA,NA,NA,0.545914,NA,NA,NA,NA,NA,NA,NA,0.24645834,NA,NA,NA,NA,NA,NA,NA,0.46922,NA,NA,NA,15.2
Singapore,NA,NA,NA,NA,1,0,16,0,NA,17,NA,0.2,NA,1,NA,0.16074,4.5,38,NA,NA,NA,NA,NA,NA,NA,99.9,NA,NA,1.1493733333333334,NA,NA,NA,NA,NA,NA,NA,0.6651525166666666,40,NA,NA,NA,NA,NA,NA,0.6202,NA,0.85981,NA,11.5
Tuvalu,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.5552,79.7,87.38333333333333,NA,NA,0.5254433333333334,0,NA,NA,NA,NA,NA,NA,0.19843666666666665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cook_Islands,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.3359,NA,100,NA,NA,1.4925,NA,NA,NA,NA,NA,NA,NA,0.29711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.6
Anguilla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5,NA,NA,NA,NA,NA,NA,95.1484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.1
Aruba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.025605,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
British_Virgin_Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Curaçao,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.157154999999996,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montserrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United_States_Virgin_Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.434394999999995,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
French_Polynesia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.0316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New_Caledonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.5026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Niue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.8462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
American_Samoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.3
Guam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.4
